Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
NAME,X,Y,LABELS,tumor,treatment,Immune_resistance,Immune_resistance.up,Immune_resistance.down,OE.Immune_resistance,OE.Immune_resistance.up,OE.Immune_resistance.down,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,group,group,numeric,numeric,numeric,numeric,numeric
cy79_p4_CD45_neg_PDL1_neg_G01_S1129_comb, 32.71525297,  1.69639503,Mel79,Mel79,TN,low,low,high,-2.075917646,-0.475135311, 1.6007823358, 3197,11.801407
Cy71_CD45_D04_S520_comb, -4.43247485, 10.28270196,Mel71,Mel71,TN,low,low,low,-0.140697954,-0.276340950,-0.1356429958, 3384,11.295428
cy80_CD45_neg_B05_S881_comb, 30.20632037,-38.72769815,Mel80,Mel80,TN,low,low,high,-0.316499729,-0.140482531, 0.1760171982, 2423, 9.851984
CY89FNAQ2_D04_S424_comb, -5.71134244,  2.75148793,Mel89,Mel89,TN,low,low,high,-0.780539878,-0.490499775, 0.2900401036, 9425,11.852379
cy78_CD45_neg_3_B03_S687_comb,-29.60475348, 37.74103474,Mel78,Mel78,ICR,low,low,high,-0.457034008,-0.229785830, 0.2272481783, 4945,11.794028
cy80_CD45_neg_G02_S458_comb, -7.58057745, -6.24692228,Mel80,Mel80,TN,low,low,high,-0.360633249,-0.425357159,-0.0647239104,11207,12.698370
cy81_Bulk_CD45_neg_G02_S170_comb, -6.73713725,-54.31269012,Mel81,Mel81,TN,low,high,high, 0.123504347, 0.225992045, 0.1024876974, 2530,12.085379
CY89FNAQ2_A03_S387_comb, -5.07011872,  3.42311856,Mel89,Mel89,TN,low,low,high,-0.415159409,-0.234633398, 0.1805260111,10452,12.167176
CY88_3_E09_S633_comb,  8.10050149, 35.46609769,Mel88,Mel88,ICR,low,high,high,-0.215806212, 0.112301103, 0.3281073154, 4078,11.781371
cy78_CD45_neg_2_B11_S599_comb,-26.58444995, 24.91821629,Mel78,Mel78,ICR,low,low,high,-0.285666207,-0.026459042, 0.2592071656, 3034,10.062540
Cy71_CD45_B04_S496_comb,-45.32773872,-23.45356673,Mel71,Mel71,TN,high,high,low, 0.625357526, 0.207538544,-0.4178189823, 4348,11.869935
cy78_CD45_neg_3_A06_S678_comb,-39.14920363, 33.15008611,Mel78,Mel78,ICR,high,low,low, 0.273884773,-0.339101960,-0.6129867330, 5085,12.265789
CY89CORE11_E07_S151_comb, 42.58372836,  1.64191248,Mel89,Mel89,TN,low,low,high,-0.585078117,-0.159627864, 0.4254502523, 2300,11.260005
cy79_p5_CD45_neg_PDL1_pos_A05_S677_comb, 15.69589255, -3.12618464,Mel79,Mel79,TN,low,low,high,-2.000871263,-0.834624490, 1.1662467728, 3070,10.920745
CY89NEG_D04_S40_comb,-57.45269457,  6.48089731,Mel89,Mel89,TN,low,low,high,-1.132099348,-0.579652161, 0.5524471872, 4822,12.079959
cy79_p4_CD45_neg_PDL1_neg_B07_S1075_comb, 16.94476873,-11.85111344,Mel79,Mel79,TN,low,low,high,-1.138005897,-0.689112846, 0.4488930509, 2260,12.698874
cy79_p3_CD45_neg_PDL1_neg_G06_S270_comb, 40.90290150, -0.67787898,Mel79,Mel79,TN,low,low,high,-2.589800705,-0.829299082, 1.7605016226, 4280,11.833116
