Column1,Column2,Column3,Column1,Column2,Column3,,,
NAME,X,Y,NAME,CLUSTER,SUB-CLUSTER,,,
TYPE,numeric,numeric,TYPE,group,group,,,
Cy81_Bulk_CD45_G05_S173_comb,60.63800049,4.118638441,CY58_1_CD45_G09_S1041_comb,T,T,cy84_Primary_CD45_pos_B11_S407_comb,T,T
Cy74_CD45_G08_S464_comb,-9.604354666,22.64721421,Cy81_FNA_CD45_F04_S256_comb,T,T,cy84_Primary_CD45_pos_E01_S433_comb,Macrophage,Macrophage
Cy81_Bulk_CD45_G08_S176_comb,59.482635,4.370556828,Cy74_CD45_C10_S418_comb,undefined,undefined,cy84_Primary_CD45_pos_E04_S436_comb,T,T
Cy72_CD45_F02_S734_comb,-6.391984145,52.71369135,Cy74_CD45_G04_S460_comb,T,T,cy84_Primary_CD45_pos_D10_S430_comb,T,T
Cy74_CD45_E08_S440_comb,-47.21400981,44.67644439,CY58_1_CD45_C03_S987_comb,T,T,cy84_Primary_CD45_pos_G02_S458_comb,B,B
Cy81_FNA_CD45_C02_S218_comb,-15.20757883,12.23692253,Cy81_Bulk_CD45_F04_S160_comb,undefined,undefined,cy84_Primary_CD45_pos_B07_S403_comb,T,T
CY58_1_CD45_A04_S964_comb,-49.55391867,35.94590519,Cy72_CD45_F05_S737_comb,T,T,cy84_Primary_CD45_pos_D11_S431_comb,T,T
Cy72_CD45_C10_S706_comb,50.61330252,-69.36029291,Cy72_CD45_G03_S747_comb,undefined,undefined,cy84_Primary_CD45_pos_A04_S388_comb,B,B
Cy74_CD45_G07_S463_comb,-53.8443641,36.76553217,Cy74_CD45_D03_S423_comb,T,T,cy84_Primary_CD45_pos_B09_S405_comb,T,T
Cy81_FNA_CD45_A05_S197_comb,1.01526843,59.28191671,Cy74_CD45_G03_S459_comb,T,T,cy84_Primary_CD45_pos_A12_S396_comb,B,B
Cy81_FNA_CD45_H05_S281_comb,53.1758335,-66.57863223,Cy81_FNA_CD45_A07_S199_comb,T,T,cy84_Primary_CD45_pos_D12_S432_comb,undefined,undefined
Cy81_FNA_CD45_A08_S200_comb,-21.98503433,56.65553304,Cy72_CD45_B05_S689_comb,T,T,cy84_Primary_CD45_pos_B10_S406_comb,T,T
Cy72_CD45_A06_S678_comb,-21.63905809,-68.06015037,Cy81_Bulk_CD45_C09_S129_comb,undefined,undefined,cy84_Primary_CD45_pos_A10_S394_comb,undefined,undefined
Cy72_CD45_F10_S742_comb,18.29815846,-69.58328519,CY58_1_CD45_A07_S967_comb,T,T,cy84_Primary_CD45_pos_G05_S461_comb,T,T
Cy74_CD45_B06_S402_comb,-22.72943629,59.51073257,Cy72_CD45_B09_S693_comb,B,B,cy84_Primary_CD45_pos_E09_S441_comb,T,T
Cy74_CD45_H02_S470_comb,-51.70288798,-25.61035994,CY58_1_CD45_F03_S1023_comb,T,T,cy84_Primary_CD45_pos_H10_S478_comb,T,T
CY58_1_CD45_B08_S980_comb,-54.0042941,35.27075763,Cy81_Bulk_CD45_G05_S173_comb,undefined,undefined,cy84_Primary_CD45_pos_C07_S415_comb,NK,NK
Cy80_II_CD45_C12_S900_comb,90.78751746,20.41426864,Cy74_CD45_G08_S464_comb,T,T,cy84_Primary_CD45_pos_H11_S479_comb,T,T
Cy74_CD45_A02_S386_comb,-54.01534759,37.51761313,Cy81_Bulk_CD45_G08_S176_comb,undefined,undefined,cy84_Primary_CD45_pos_G09_S465_comb,B,B
Cy72_CD45_F07_S739_comb,-6.99106477,62.0647505,Cy72_CD45_F02_S734_comb,T,T,cy84_Primary_CD45_pos_H01_S469_comb,B,B
CY58_1_CD45_H08_S1052_comb,-13.98841323,49.23708848,Cy74_CD45_E08_S440_comb,T,T,cy84_Primary_CD45_pos_A11_S395_comb,B,B
CY58_1_CD45_F08_S1028_comb,-37.19614274,50.67335415,Cy81_FNA_CD45_C02_S218_comb,T,T,cy84_Primary_CD45_pos_D01_S421_comb,B,B
Cy74_CD45_C06_S414_comb,-40.32981029,44.75549083,CY58_1_CD45_A04_S964_comb,T,T,cy84_Primary_CD45_pos_C03_S411_comb,T,T
Cy72_CD45_A03_S675_comb,55.67718476,-65.69139118,Cy72_CD45_C10_S706_comb,undefined,undefined,cy84_Primary_CD45_pos_A01_S385_comb,T,T
Cy81_FNA_CD45_F10_S262_comb,-26.71209949,39.12350953,Cy74_CD45_G07_S463_comb,T,T,cy84_Primary_CD45_pos_D02_S422_comb,B,B
Cy74_CD45_E02_S434_comb,-53.64069399,38.41185986,Cy81_Bulk_CD45_B08_S116_comb,undefined,undefined,cy84_Primary_CD45_pos_C04_S412_comb,T,T
Cy72_CD45_C03_S699_comb,56.57940315,-66.59433365,Cy81_FNA_CD45_A05_S197_comb,T,T,cy84_Primary_CD45_pos_A03_S387_comb,B,B
Cy81_FNA_CD45_G11_S275_comb,31.33939437,-37.55298613,Cy81_FNA_CD45_H05_S281_comb,B,B,cy84_Primary_CD45_pos_C09_S417_comb,B,B
Cy81_FNA_CD45_B01_S205_comb,-52.127927,7.705410606,Cy81_FNA_CD45_A08_S200_comb,T,T,cy84_Primary_CD45_pos_B05_S401_comb,B,B
CY58_1_CD45_D06_S1002_comb,-30.12487951,51.41501998,Cy72_CD45_A06_S678_comb,undefined,undefined,cy84_Primary_CD45_pos_G12_S468_comb,T,T
Cy72_CD45_D04_S712_comb,-40.27070831,46.08590109,Cy72_CD45_F10_S742_comb,B,B,cy84_Primary_CD45_pos_E10_S442_comb,B,B
Cy72_CD45_C06_S702_comb,56.55349012,-65.50004498,Cy74_CD45_B06_S402_comb,T,T,cy84_Primary_CD45_pos_C10_S418_comb,T,T
Cy74_CD45_F10_S454_comb,54.09072988,-59.48382543,Cy74_CD45_H02_S470_comb,T,T,cy84_Primary_CD45_pos_B12_S408_comb,T,T
Cy72_CD45_C12_S708_comb,-7.99903379,68.76465829,CY58_1_CD45_B08_S980_comb,T,T,cy84_Primary_CD45_pos_G03_S459_comb,NK,NK
Cy72_CD45_E04_S724_comb,-3.977530763,53.53227707,Cy80_II_CD45_C12_S900_comb,Endothelial,Endothelial,cy84_Primary_CD45_pos_D08_S428_comb,B,B
Cy81_Bulk_CD45_E11_S155_comb,60.37322824,4.090942269,Cy74_CD45_A02_S386_comb,undefined,undefined,cy84_Primary_CD45_pos_G10_S466_comb,T,T
Cy81_FNA_CD45_B02_S206_comb,-37.28202324,42.50155627,Cy72_CD45_F07_S739_comb,T,T,cy84_Primary_CD45_pos_H03_S471_comb,T,T
Cy74_CD45_D10_S430_comb,-40.67058529,40.63292345,Cy71_CD45_C08_S512_comb,T,T,cy84_Primary_CD45_pos_B06_S402_comb,undefined,undefined
Cy72_CD45_D11_S719_comb,-16.85737775,47.94667754,CY58_1_CD45_H08_S1052_comb,undefined,undefined,cy84_Primary_CD45_pos_D09_S429_comb,T,T
Cy72_CD45_H03_S759_comb,-39.24789146,48.33374516,CY58_1_CD45_F08_S1028_comb,NK,NK,cy84_Primary_CD45_pos_G07_S463_comb,T,T
Cy80_II_CD45_G10_S946_comb,92.86260246,26.15819693,Cy74_CD45_C06_S414_comb,T,T,cy84_Primary_CD45_pos_C11_S419_comb,NK,NK
Cy81_FNA_CD45_H02_S278_comb,-23.16030216,57.08406354,Cy72_CD45_A03_S675_comb,B,B,cy84_Primary_CD45_pos_D03_S423_comb,T,T
